date,openPrice,highPrice,lowPrice,closePrice,totalSoybeanMealSupply,totalSoybeanMealDemand,soybeanOilSupply,soybeanOilDemand,sunflowerSeedPrice,Month,canolaPrice,peanutsPrice,flaxseedPrice,soybeanOilPrice,cottonseedOilPrice,sunflowerseedOilPrice,canolaOilPrice,peanutOilPrice,cornOilPrice,soybeanMealPrice,cottonseedmealPrice,sunflowerseedMealPrice,linseedMealPrice
11/14/2017,978.5,978.5,978.5,978.5,4526.6,4137.5,3625.3,1934.7,16.6,November,17.2,22.7,9.21,33.43,37.0,55.5,39.69,65.0,34.46,313.52,228.75,165.0,205.0
11/15/2017,985.0,985.0,985.0,985.0,4526.6,4137.5,3625.3,1934.7,16.6,November,17.2,22.7,9.21,33.43,37.0,55.5,39.69,65.0,34.46,313.52,228.75,165.0,205.0
11/16/2017,983.0,983.0,983.0,983.0,4526.6,4137.5,3625.3,1934.7,16.6,November,17.2,22.7,9.21,33.43,37.0,55.5,39.69,65.0,34.46,313.52,228.75,165.0,205.0
11/17/2017,996.5,996.5,996.5,996.5,4526.6,4137.5,3625.3,1934.7,16.6,November,17.2,22.7,9.21,33.43,37.0,55.5,39.69,65.0,34.46,313.52,228.75,165.0,205.0
11/20/2017,998.5,998.5,998.5,998.5,4526.6,4137.5,3625.3,1934.7,16.6,November,17.2,22.7,9.21,33.43,37.0,55.5,39.69,65.0,34.46,313.52,228.75,165.0,205.0
11/21/2017,998.0,998.0,998.0,998.0,4526.6,4137.5,3625.3,1934.7,16.6,November,17.2,22.7,9.21,33.43,37.0,55.5,39.69,65.0,34.46,313.52,228.75,165.0,205.0
11/22/2017,1003.0,1003.0,1003.0,1003.0,4526.6,4137.5,3625.3,1934.7,16.6,November,17.2,22.7,9.21,33.43,37.0,55.5,39.69,65.0,34.46,313.52,228.75,165.0,205.0
11/24/2017,1000.5,1000.5,1000.5,1000.5,4526.6,4137.5,3625.3,1934.7,16.6,November,17.2,22.7,9.21,33.43,37.0,55.5,39.69,65.0,34.46,313.52,228.75,165.0,205.0
11/27/2017,1001.75,1001.75,1001.75,1001.75,4526.6,4137.5,3625.3,1934.7,16.6,November,17.2,22.7,9.21,33.43,37.0,55.5,39.69,65.0,34.46,313.52,228.75,165.0,205.0
11/28/2017,1001.75,1001.75,1001.75,1001.75,4526.6,4137.5,3625.3,1934.7,16.6,November,17.2,22.7,9.21,33.43,37.0,55.5,39.69,65.0,34.46,313.52,228.75,165.0,205.0
11/29/2017,1000.25,1000.25,1000.25,1000.25,4526.6,4137.5,3625.3,1934.7,16.6,November,17.2,22.7,9.21,33.43,37.0,55.5,39.69,65.0,34.46,313.52,228.75,165.0,205.0
11/30/2017,997.75,997.75,997.75,997.75,4526.6,4137.5,3625.3,1934.7,16.6,November,17.2,22.7,9.21,33.43,37.0,55.5,39.69,65.0,34.46,313.52,228.75,165.0,205.0
12/01/2017,1004.5,1004.5,1004.5,1004.5,4594.2,4039.3,3737.0,1786.4,17.0,December,16.7,23.0,9.34,32.27,34.25,54.8,38.65,65.2,33.96,319.22,232.5,185.0,209.17
12/04/2017,1004.75,1004.75,1004.75,1004.75,4594.2,4039.3,3737.0,1786.4,17.0,December,16.7,23.0,9.34,32.27,34.25,54.8,38.65,65.2,33.96,319.22,232.5,185.0,209.17
