,date,openPrice,highPrice,lowPrice,closePrice,totalSoybeanMealSupply,totalSoybeanMealDemand,soybeanOilSupply,soybeanOilDemand,sunflowerSeedPrice,Month,canolaPrice,peanutsPrice,flaxseedPrice,soybeanOilPrice,cottonseedOilPrice,sunflowerseedOilPrice,canolaOilPrice,peanutOilPrice,cornOilPrice,soybeanMealPrice,cottonseedmealPrice,sunflowerseedMealPrice,linseedMealPrice
0,11/14/2017,994.0,994.0,994.0,994.0,4526.6,4137.5,3625.3,1934.7,16.6,November,17.2,22.7,9.21,33.43,37.0,55.5,39.69,65.0,34.46,313.52,228.75,165.0,205.0
1,11/15/2017,1000.25,1000.25,1000.25,1000.25,4526.6,4137.5,3625.3,1934.7,16.6,November,17.2,22.7,9.21,33.43,37.0,55.5,39.69,65.0,34.46,313.52,228.75,165.0,205.0
2,11/16/2017,998.5,998.5,998.5,998.5,4526.6,4137.5,3625.3,1934.7,16.6,November,17.2,22.7,9.21,33.43,37.0,55.5,39.69,65.0,34.46,313.52,228.75,165.0,205.0
3,11/17/2017,1011.75,1011.75,1011.75,1011.75,4526.6,4137.5,3625.3,1934.7,16.6,November,17.2,22.7,9.21,33.43,37.0,55.5,39.69,65.0,34.46,313.52,228.75,165.0,205.0
4,11/20/2017,1013.75,1013.75,1013.75,1013.75,4526.6,4137.5,3625.3,1934.7,16.6,November,17.2,22.7,9.21,33.43,37.0,55.5,39.69,65.0,34.46,313.52,228.75,165.0,205.0
5,11/21/2017,1013.5,1013.5,1013.5,1013.5,4526.6,4137.5,3625.3,1934.7,16.6,November,17.2,22.7,9.21,33.43,37.0,55.5,39.69,65.0,34.46,313.52,228.75,165.0,205.0
6,11/22/2017,1018.25,1018.25,1018.25,1018.25,4526.6,4137.5,3625.3,1934.7,16.6,November,17.2,22.7,9.21,33.43,37.0,55.5,39.69,65.0,34.46,313.52,228.75,165.0,205.0
7,11/24/2017,1016.0,1016.0,1016.0,1016.0,4526.6,4137.5,3625.3,1934.7,16.6,November,17.2,22.7,9.21,33.43,37.0,55.5,39.69,65.0,34.46,313.52,228.75,165.0,205.0
8,11/27/2017,1017.0,1017.0,1017.0,1017.0,4526.6,4137.5,3625.3,1934.7,16.6,November,17.2,22.7,9.21,33.43,37.0,55.5,39.69,65.0,34.46,313.52,228.75,165.0,205.0
9,11/28/2017,1017.0,1017.0,1017.0,1017.0,4526.6,4137.5,3625.3,1934.7,16.6,November,17.2,22.7,9.21,33.43,37.0,55.5,39.69,65.0,34.46,313.52,228.75,165.0,205.0
10,11/29/2017,1015.75,1015.75,1015.75,1015.75,4526.6,4137.5,3625.3,1934.7,16.6,November,17.2,22.7,9.21,33.43,37.0,55.5,39.69,65.0,34.46,313.52,228.75,165.0,205.0
11,11/30/2017,1013.25,1013.25,1013.25,1013.25,4526.6,4137.5,3625.3,1934.7,16.6,November,17.2,22.7,9.21,33.43,37.0,55.5,39.69,65.0,34.46,313.52,228.75,165.0,205.0
12,12/01/2017,1019.75,1019.75,1019.75,1019.75,4594.2,4039.3,3737.0,1786.4,17.0,December,16.7,23.0,9.34,32.27,34.25,54.8,38.65,65.2,33.96,319.22,232.5,185.0,209.17
13,12/04/2017,1025.0,1025.0,1020.0,1020.0,4594.2,4039.3,3737.0,1786.4,17.0,December,16.7,23.0,9.34,32.27,34.25,54.8,38.65,65.2,33.96,319.22,232.5,185.0,209.17
14,12/05/2017,1024.75,1024.75,1024.75,1024.75,4594.2,4039.3,3737.0,1786.4,17.0,December,16.7,23.0,9.34,32.27,34.25,54.8,38.65,65.2,33.96,319.22,232.5,185.0,209.17
15,12/06/2017,1021.0,1021.0,1021.0,1021.0,4594.2,4039.3,3737.0,1786.4,17.0,December,16.7,23.0,9.34,32.27,34.25,54.8,38.65,65.2,33.96,319.22,232.5,185.0,209.17
16,12/07/2017,1011.75,1011.75,1011.75,1011.75,4594.2,4039.3,3737.0,1786.4,17.0,December,16.7,23.0,9.34,32.27,34.25,54.8,38.65,65.2,33.96,319.22,232.5,185.0,209.17
17,12/08/2017,1010.5,1010.5,1010.5,1010.5,4594.2,4039.3,3737.0,1786.4,17.0,December,16.7,23.0,9.34,32.27,34.25,54.8,38.65,65.2,33.96,319.22,232.5,185.0,209.17
18,12/11/2017,1006.5,1006.5,1006.5,1006.5,4594.2,4039.3,3737.0,1786.4,17.0,December,16.7,23.0,9.34,32.27,34.25,54.8,38.65,65.2,33.96,319.22,232.5,185.0,209.17
